eDCタワー前(構内),情報大学前(白樺通沿),野幌駅南口,大麻駅南口,新札幌駅,スクール便
6:44,6:46,6:53,7:05,7:22,
7:03,7:05,7:12,7:25,7:43,
7:14,7:16,7:23,7:37,7:55,
7:35,7:37,7:44,7:57,8:15,
-,7:57,8:04,8:15,8:31,
-,8:37,8:44,8:55,9:11,
-,9:12,9:19,9:30,9:46,
-,9:43,9:50,10:01,10:17,
10:41,-,10:48,10:59,11:15,
11:35,-,11:42,11:53,12:09,
12:35,-,12:42,12:53,13:09,
-,13:35,13:42,13:53,14:09,
14:33,14:35,14:42,14:53,15:09,
15:35,-,15:42,15:53,16:09,
16:30,-,16:37,16:48,17:04,
16:33,16:35,16:42,16:53,17:09,
17:40,-,17:47,17:58,18:14,
17:58,-,18:03,18:11,18:23,TRUE
18:04,18:06,18:13,18:24,18:40,
18:14,18:16,18:23,18:34,18:50,
18:37,-,18:44,18:55,19:10,
19:03,19:05,19:12,19:23,19:38,
19:40,19:42,19:49,20:00,20:15,
20:10,-,20:15,20:23,20:35,TRUE
