岩見沢発,豊幌着,豊幌発,江別着,江別発,高砂着,高砂発,野幌着,野幌発,大麻着,大麻発,森林公園着,森林公園発,厚別着,厚別発,白石着,白石発,苗穂着,苗穂発,札幌着
,,,,5:34,5:36,5:36,5:38,5:38,5:41,5:42,5:44,5:44,5:46,5:47,5:51,5:51,5:54,5:55,5:58
5:55,6:07,6:08,6:13,6:13,6:15,6:16,6:18,6:18,6:21,6:21,6:23,6:24,6:26,6:27,6:31,6:31,6:34,6:36,6:40
6:20,6:32,6:32,6:37,6:38,6:40,6:40,6:42,6:42,6:45,6:46,6:48,6:48,6:50,6:51,6:55,6:55,6:58,6:59,7:02
,,,,6:51,6:53,6:54,6:56,6:56,6:59,6:59,7:01,7:02,7:04,7:05,7:09,7:09,7:12,7:13,7:16
6:45,6:57,6:57,7:02,7:03,7:05,7:05,7:07,7:08,7:11,7:11,7:13,7:14,7:16,7:18,7:22,7:22,7:25,7:26,7:29
7:06,7:18,7:19,7:24,7:25,7:27,7:28,7:30,7:31,7:34,7:35,7:37,7:39,7:41,7:42,7:46,7:47,7:50,7:51,7:55
7:15,7:27,7:28,7:33,7:34,7:36,7:37,7:39,7:39,7:42,7:43,7:45,7:47,7:49,7:50,7:54,7:55,7:58,7:59,8:03
7:24,7:36,7:37,7:42,7:43,7:45,7:46,7:48,7:48,7:51,7:52,7:54,7:56,7:58,7:59,8:03,8:04,8:07,8:09,8:13
,,,,7:48,7:50,7:51,7:53,7:53,7:56,7:57,7:59,8:01,8:03,8:04,8:08,8:09,8:12,8:13,8:17
7:33,7:45,7:47,7:52,7:52,7:54,7:55,7:57,7:58,8:01,8:02,8:04,8:06,8:08,8:09,8:13,8:14,8:17,8:19,8:23
7:51,8:03,8:04,8:09,8:10,8:12,8:12,8:14,8:15,8:18,8:19,8:21,8:22,8:24,8:25,8:29,8:30,8:33,8:35,8:38
8:09,8:21,8:21,8:26,8:31,8:33,8:35,8:37,8:37,8:40,8:40,8:42,8:43,8:45,8:46,8:50,8:50,8:53,8:54,8:58
8:30,8:42,8:43,8:48,8:48,8:50,8:51,8:53,8:53,8:56,8:56,8:58,8:59,9:01,9:02,9:06,9:06,9:09,9:09,9:13
,,,,8:57,8:59,9:00,9:02,9:02,9:05,9:05,9:07,9:08,9:10,9:15,9:19,9:20,9:23,9:24,9:27
9:01,9:13,9:14,9:19,9:20,9:22,9:23,9:25,9:26,9:29,9:29,9:31,9:32,9:34,9:35,9:39,9:39,9:42,9:44,9:47
,,,,9:33,9:35,9:36,9:38,9:38,9:41,9:41,9:43,9:44,9:46,9:50,9:54,9:54,9:57,9:58,10:01
,,,,9:47,9:49,9:50,9:52,9:52,9:55,9:56,9:58,9:59,10:01,10:02,10:06,10:07,10:10,10:11,10:15
9:39,9:51,9:53,9:58,9:59,10:01,10:02,10:04,10:05,10:08,10:09,10:11,10:12,10:14,10:20,10:24,10:24,10:27,10:28,10:32
