野幌駅北口,大麻駅南口,厚別中央2条6丁目,新札幌駅
6:26,6:37,6:45,6:47
7:00,7:11,7:19,7:21
7:23,7:34,7:45,7:47
7:41,7:52,8:03,8:05
8:25,8:36,8:47,8:49
8:35,8:46,8:55,8:57
9:09,9:20,9:29,9:31
9:39,9:50,9:59,10:01
9:59,10:10,10:19,10:21
10:19,10:30,10:39,10:41
10:39,10:50,10:59,11:01
11:00,11:11,11:20,11:22
11:18,11:29,11:38,11:40
11:29,11:40,11:49,11:51
12:00,12:11,12:20,12:22
12:18,12:29,12:38,12:40
12:29,12:40,12:49,12:51
13:00,13:11,13:20,13:22
13:18,13:29,13:38,13:40
13:29,13:40,13:49,13:51
14:00,14:11,14:20,14:22
14:18,14:29,14:38,14:40
14:29,14:40,14:49,14:51
15:00,15:11,15:20,15:22
15:18,15:29,15:38,15:40
15:29,15:40,15:49,15:51
16:00,16:11,16:19,16:21
16:16,16:27,16:36,16:38
16:29,16:40,16:49,16:51
17:00,17:11,17:19,17:21
17:16,17:27,17:36,17:38
17:36,17:47,17:56,17:58
17:59,18:10,18:19,18:21
18:35,18:46,18:55,18:57
18:57,19:08,19:16,19:18
19:28,19:39,19:47,19:49
19:55,20:06,20:14,20:16
20:19,20:30,20:38,20:40
20:55,21:06,21:14,21:16
21:51,22:02,22:10,22:12
22:16,22:27,22:35,22:37
