野幌駅北口,大麻駅南口,厚別中央2条6丁目,新札幌駅
6:26,6:37,6:45,6:47
7:00,7:11,7:19,7:21
7:41,7:52,8:01,8:03
8:25,8:36,8:45,8:47
9:09,9:20,9:29,9:31
9:59,10:10,10:19,10:21
10:19,10:30,10:39,10:41
10:39,10:50,10:59,11:01
11:18,11:29,11:38,11:40
11:29,11:40,11:49,11:51
12:18,12:29,12:38,12:40
12:29,12:40,12:49,12:51
13:18,13:29,13:38,13:40
13:29,13:40,13:49,13:51
14:18,14:29,14:38,14:40
14:29,14:40,14:49,14:51
15:18,15:29,15:38,15:40
15:29,15:40,15:49,15:51
16:16,16:27,16:36,16:38
16:29,16:40,16:49,16:51
17:16,17:27,17:36,17:38
17:59,18:10,18:19,18:21
18:57,19:08,19:16,19:18
19:55,20:06,20:14,20:16
20:55,21:06,21:14,21:16
