野幌駅,大麻駅,厚別駅,札幌駅
5:38,5:42,5:47,5:58
6:18,6:21,6:27,6:40
6:42,6:46,6:51,7:02
6:56,6:59,7:05,7:16
7:08,7:11,7:18,7:29
7:20,7:24,7:30,7:42
7:31,7:35,7:42,7:55
7:39,7:43,7:50,8:03
7:48,7:52,7:59,8:13
7:53,7:57,8:04,8:17
7:58,8:02,8:09,8:23
8:08,8:12,8:19,8:30
8:15,8:19,8:25,8:38
8:21,8:25,8:31,8:43
8:37,8:40,8:46,8:58
8:53,8:56,9:02,9:13
9:02,9:05,9:15,9:27
9:26,9:29,9:35,9:47
9:38,9:41,9:50,10:01
9:52,9:56,10:02,10:15
10:05,10:09,10:20,10:32
10:29,10:32,10:37,10:48
10:41,10:44,10:49,11:01
10:58,11:01,11:06,11:17
11:21,11:24,11:29,11:41
11:36,11:40,11:50,12:02
12:02,12:05,12:10,12:21
12:21,12:25,12:31,12:42
12:36,12:40,12:46,12:58
13:00,13:03,13:08,13:19
13:19,13:22,13:28,13:38
13:36,13:39,13:45,13:56
13:57,14:00,14:05,14:16
14:21,14:24,14:30,14:41
14:37,14:41,14:48,15:00
15:00,15:03,15:08,15:19
15:22,15:25,15:30,15:41
15:37,15:40,15:50,16:03
15:59,16:02,16:07,16:18
16:19,16:22,16:27,16:38
16:28,16:31,16:36,16:47
16:39,16:43,16:49,17:01
16:49,16:52,16:58,17:09
16:58,17:01,17:07,17:19
17:07,17:10,17:20,17:31
17:29,17:32,17:37,17:48
17:37,17:40,17:50,18:01
17:51,17:54,17:59,18:10
17:59,18:02,18:08,18:20
18:20,18:23,18:28,18:39
18:26,18:29,18:34,18:45
18:37,18:41,18:50,19:02
18:55,18:58,19:04,19:15
19:02,19:05,19:11,19:23
19:19,19:22,19:27,19:38
19:32,19:35,19:40,19:51
19:39,19:42,19:47,19:58
19:53,19:57,20:02,20:13
20:02,20:05,20:10,20:23
20:20,20:23,20:28,20:40
20:36,20:39,20:45,20:57
20:44,20:47,20:53,21:04
20:55,20:59,21:05,21:16
21:07,21:10,21:20,21:32
21:33,21:37,21:42,21:54
21:43,21:46,21:51,22:02
21:55,21:58,22:03,22:15
22:07,22:10,22:20,22:32
22:31,22:34,22:39,22:51
22:55,22:59,23:04,23:15
23:28,23:31,23:36,23:47
