札幌駅,厚別駅,大麻駅,野幌駅
6:00,6:12,6:19,6:24
6:16,6:26,6:31,6:35
6:29,6:46,6:51,6:54
6:35,7:07,7:13,7:16
6:52,7:26,7:31,7:34
6:57,7:39,7:44,7:47
7:13,7:44,7:49,7:52
7:15,7:55,8:01,8:04
7:22,8:13,8:18,8:22
7:30,8:28,8:34,8:37
7:33,8:46,8:51,8:55
7:41,8:54,9:00,9:04
7:44,9:08,9:14,9:17
8:00,9:21,9:26,9:29
8:02,9:38,4:44,9:48
8:18,9:56,9:44,10:05
8:35,10:17,10:02,10:26
8:43,10:37,10:23,10:45
8:52,10:55,10:42,11:04
9:00,11:17,11:01,11:25
9:10,11:38,11:22,11:47
9:23,11:55,11:44,12:04
9:46,12:18,12:01,12:27
10:00,12:38,12:24,12:47
10:07,12:53,12:43,13:02
10:26,13:17,12:59,13:26
10:45,13:37,13:23,13:46
11:00,13:54,13:42,14:03
11:06,14:18,14:00,14:26
11:23,14:38,14:23,14:48
11:45,14:57,14:44,15:06
12:00,15:18,15:03,15:26
12:08,15:39,15:23,15:48
12:27,15:47,15:44,15:56
12:43,15:56,15:53,16:05
13:00,16:08,16:02,16:17
13:07,16:16,16:14,16:25
13:26,16:38,16:22,16:47
13:43,16:47,16:44,16:56
14:00,17:08,16:53,17:17
14:07,17:16,17:14,17:25
14:23,17:25,17:21,17:34
14:30,17:38,17:31,17:47
14:47,17:49,17:44,17:57
15:00,17:57,17:54,18:05
15:07,18:08,18:02,18:17
15:23,18:15,18:14,18:25
15:30,18:25,18:21,18:35
15:37,18:38,18:31,18:47
15:46,18:49,18:44,18:58
15:53,19:08,18:55,19:17
16:00,19:14,19:14,19:23
16:05,19:25,19:20,19:34
16:22,19:36,19:31,19:44
16:30,19:48,19:41,19:57
16:37,20:08,19:54,20:17
16:53,20:15,20:14,20:24
17:00,20:22,20:20,20:31
17:05,20:31,20:27,20:39
17:14,20:41,20:36,20:50
17:23,20:50,20:47,20:59
17:30,21:08,20:56,21:17
17:38,21:15,21:14,21:24
17:46,21:25,21:20,21:34
17:53,21:44,21:31,21:53
18:00,21:57,21:50,22:06
18:04,22:21,22:03,22:30
18:14,22:47,22:27,22:56
18:23,23:09,22:53,23:17
18:30,23:34,23:14,23:42
18:38,23:53,23:39,24:02:00
18:50,1900/1/1 48:09:00,23:59,24:19:00
19:00,,24:15:00,
19:03,,,
19:14,,,
19:25,,,
19:37,,,
19:48,,,
20:00,,,
20:03,,,
20:11,,,
20:20,,,
20:30,,,
20:40,,,
20:52,,,
21:00,,,
21:04,,,
21:15,,,
21:34,,,
21:47,,,
22:00,,,
22:11,,,
22:37,,,
22:58,,,
23:23,,,
23:42,,,
23:59,,,
