札幌駅,厚別駅,大麻駅,野幌駅
6:00,6:12,6:19,6:24
6:16,6:26,6:31,6:35
6:35,6:46,6:51,6:54
6:57,7:07,7:13,7:16
7:15,7:26,7:31,7:34
7:33,7:44,7:49,7:52
8:02,8:13,8:18,8:22
8:18,8:28,8:34,8:37
8:35,8:46,8:51,8:55
8:43,8:54,9:00,9:04
8:52,9:08,9:14,9:17
9:10,9:21,9:26,9:29
9:23,9:38,9:44,9:48
9:46,9:56,10:02,10:05
10:07,10:17,10:23,10:26
10:26,10:37,10:42,10:45
10:45,10:55,11:01,11:04
11:06,11:17,11:22,11:25
11:23,11:38,11:44,11:47
11:45,11:55,12:01,12:04
12:08,12:18,12:24,12:27
12:27,12:38,12:43,12:47
12:43,12:53,12:59,13:02
13:07,13:17,13:23,13:26
13:26,13:37,13:42,13:46
13:43,13:54,14:00,14:03
14:07,14:18,14:23,14:26
14:23,14:38,14:44,14:48
14:47,14:57,15:03,15:06
15:07,15:18,15:23,15:26
15:23,15:39,15:44,15:48
15:37,15:47,15:53,15:56
15:46,15:56,16:02,16:05
15:53,16:08,16:14,16:17
16:05,16:16,16:22,16:25
16:22,16:38,16:44,16:47
16:37,16:47,16:53,16:56
16:53,17:08,17:14,17:17
17:05,17:16,17:21,17:25
17:23,17:38,17:44,17:47
17:38,17:49,17:54,17:57
17:46,17:57,18:02,18:05
17:53,18:08,18:14,18:17
18:04,18:15,18:21,18:25
18:14,18:25,18:31,18:35
18:38,18:49,18:55,18:58
18:50,19:08,19:14,19:17
19:03,19:14,19:20,19:23
19:14,19:25,19:31,19:34
19:25,19:36,19:41,19:44
19:37,19:48,19:54,19:57
19:48,20:08,20:14,20:17
20:03,20:15,20:20,20:24
20:11,20:22,20:27,20:31
20:20,20:31,20:36,20:39
20:30,20:41,20:47,20:50
20:40,20:50,20:56,20:59
20:52,21:08,21:14,21:17
21:04,21:15,21:20,21:24
21:15,21:25,21:31,21:34
21:34,21:44,21:50,21:53
21:47,21:57,22:03,22:06
22:11,22:21,22:27,22:30
22:37,22:47,22:53,22:56
22:58,23:09,23:14,23:17
23:23,23:34,23:39,23:42
23:42,23:53,23:59,24:02:00
23:59,24:09:00,24:15:00,24:19:00
