新札幌駅,厚別中央2条6丁目,大麻駅南口,野幌駅北口
7:18,7:20,7:30,7:41
7:49,7:51,8:01,8:12
8:20,8:22,8:32,8:43
8:58,9:00,9:10,9:21
9:40,9:42,9:52,10:03
10:05,10:07,10:17,10:28
10:40,10:42,10:52,11:03
11:05,11:07,11:17,11:28
11:40,11:42,11:52,12:03
12:05,12:07,12:17,12:28
12:20,12:22,12:32,12:43
12:40,12:42,12:52,13:03
13:05,13:07,13:17,13:28
13:20,13:22,13:32,13:43
13:40,13:42,13:52,14:03
14:05,14:07,14:17,14:28
14:20,14:22,14:32,14:43
14:40,14:42,14:52,15:03
15:05,15:07,15:17,15:28
15:20,15:22,15:32,15:43
15:40,15:42,15:52,16:03
16:05,16:07,16:17,16:28
16:20,16:22,16:32,16:43
16:40,16:42,16:52,17:03
17:15,17:17,17:28,17:41
17:47,17:49,18:00,18:13
18:21,18:23,18:34,18:47
19:03,19:05,19:16,19:29
19:45,19:47,19:57,20:08
20:43,20:45,20:55,21:06
21:48,21:50,22:00,22:11
