eDCタワー前(構内),情報大学前(白樺通沿),野幌駅南口,若葉1丁目,大麻駅南口,厚別中央2条6丁目,新札幌駅
6:44,6:46,6:53,6:56,7:05,7:15,7:22
7:03,7:05,7:12,7:15,7:25,7:36,7:43
7:14,7:16,7:23,7:26,7:37,7:48,7:55
7:35,7:37,7:44,7:47,7:57,8:08,8:15
,7:57,8:04,8:07,8:15,8:24,8:31
,8:37,8:44,8:47,8:55,9:04,9:11
,9:12,9:19,9:22,9:30,9:39,9:46
,9:43,9:50,9:53,10:01,10:10,10:17
10:41,,10:48,10:51,10:59,11:08,11:15
11:35,,11:42,11:45,11:53,12:02,12:09
12:35,,12:42,12:45,12:53,13:02,13:09
,13:35,13:42,13:45,13:53,14:02,14:09
14:33,14:35,14:42,14:45,14:53,15:02,15:09
15:35,,15:42,15:45,15:53,16:02,16:09
16:30,,16:37,16:40,16:48,16:57,17:04
16:33,16:35,16:42,16:45,16:53,17:02,17:09
17:40,,17:47,17:50,17:58,18:07,18:14
17:58,,18:03,,18:11,,18:23
18:04,18:06,18:13,18:16,18:24,18:33,18:40
18:14,18:16,18:23,18:26,18:34,18:43,18:50
18:37,,18:44,18:47,18:55,19:03,19:10
19:03,19:05,19:12,19:15,19:23,19:31,19:38
19:40,19:42,19:49,19:52,20:00,20:08,20:15
20:10,,20:15,,20:23,,20:35
