新札幌駅,厚別中央2条6丁目,大麻駅南口,若葉1丁目,野幌駅南口,情報大学前(白樺通沿)
7:01,7:03,7:13,7:19,7:25,7:31
7:33,7:35,7:45,7:51,7:55,8:01
8:03,8:05,8:15,8:21,8:27,8:33
8:40,8:42,8:52,8:58,9:02,9:08
9:23,9:25,9:35,9:41,9:46,9:52
10:26,10:28,10:38,10:44,10:50,10:56
11:26,11:28,11:38,11:44,11:50,11:56
12:26,12:28,12:38,12:44,12:50,12:56
13:26,13:28,13:38,13:44,13:50,13:56
14:26,14:28,14:38,14:44,14:51,14:57
15:30,15:32,15:42,15:48,15:55,16:01
16:37,16:39,16:51,16:57,17:03,17:09
17:37,17:39,17:51,17:57,18:03,18:09
18:37,18:39,18:51,18:57,19:01,19:07
